"gene_id","GENENAME","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000135903","PAX3",119.817629729652,9.69461392867047,0.917521462005285,10.5660895468128,4.27969691603147e-26,7.8655863115459e-25
"ENSG00000118271","TTR",3510.06238399619,9.57643781173306,0.269796764982493,35.4950060737551,5.86957403832257e-276,2.72479794796268e-273
"ENSG00000008196","TFAP2B",743.84737640177,9.33521147317975,0.438766460051449,21.276037079236,1.89281016043289e-100,1.48150911539696e-98
"ENSG00000164600","NEUROD6",535.676843949551,8.62057637955413,0.412038388070473,20.9217796912644,3.39216234659617e-97,2.52303787795861e-95
"ENSG00000164707","SLC13A4",56.6913427884484,8.61571020591997,0.932517962099393,9.23918954496414,2.48371306969757e-20,3.62068080138641e-19
"ENSG00000197901","SLC22A6",32.395684465454,8.38922254426983,0.957414818144195,8.76236964927186,1.91188132552248e-18,2.52463975918061e-17
"ENSG00000143768","LEFTY2",1002.51074257382,-8.16632948461504,0.257160957142172,-31.7557127464737,2.64800451714986e-221,7.58484272598511e-219
"ENSG00000135406","PRPH",246.713090961068,-7.92973041308919,0.444332619776239,-17.8463836778009,3.08369532743381e-71,1.56068602802923e-69
"ENSG00000111432","FZD10",32.8108517671602,7.82934469318944,0.942679818408212,8.3054124425936,9.94733025444655e-17,1.1924838250266e-15
"ENSG00000143032","BARHL2",62.9750398484826,7.64154332333019,0.858856250700562,8.89734844113557,5.71967142508699e-19,7.74658717909794e-18
"ENSG00000235718","MFRP",28.6564932605965,7.63085030424706,0.939718676070398,8.12035612206499,4.64817720542795e-16,5.36673118594115e-15
"ENSG00000137809","ITGA11",827.318447283616,-7.60525536825398,0.241251153742523,-31.5242238234879,4.04570198550172e-218,1.11153597917994e-215
"ENSG00000205221","VIT",27.7644258980872,7.58413090814117,0.928584134481546,8.16741383630854,3.15070622585469e-16,3.66717615663446e-15
"ENSG00000166634","SERPINB12",27.6369674035566,7.5705473683475,0.927165068318256,8.16526379933553,3.20733532558848e-16,3.73034572965312e-15
"ENSG00000125084","WNT1",56.0044416564548,7.47689158492373,0.857040843552762,8.72407848607209,2.68356936536923e-18,3.51093805454648e-17
"ENSG00000123307","NEUROD4",86.7626437763428,7.3688227610624,0.66265085104334,11.1202192669944,1.00025858558102e-28,1.97015087174608e-27
