"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000132122.12",1.11019216788762,3.54592757191099,1.38201110061339,2.56577358194676,0.0102946002390088,0.0280095100480308
"ENSG00000108231.13",78.5914144777196,3.14911438443263,0.199373557185068,15.7950453856299,3.36550926049389e-56,1.27091636520053e-54
"ENSG00000065613.15",15.8018827982841,1.07755463363933,0.322318202651585,3.34313924803103,0.000828363215674001,0.00296001056164864
"ENSG00000203837.5",3.12067793147974,-3.34970494356565,1.01400049073702,-3.30345495309469,0.000955013115238034,0.00337361953920022
"ENSG00000236762.1",1.62414985217544,-2.918863439185,1.22415698758721,-2.38438653602593,0.0171076226411023,0.043648511286997
"ENSG00000255323.6",20.6567698236357,3.00442140811462,0.375415146847162,8.00293071109826,1.21492311975372e-15,1.37444558820877e-14
"ENSG00000167986.14",1.99431378308165,3.70114683404614,1.16344171408651,3.18120520283403,0.00146663704473027,0.00495659626325626
"ENSG00000149571.12",10.9687561583715,1.3138218950534,0.381813279431349,3.44100628718343,0.000579555066120909,0.00213983536683072
"ENSG00000166483.11",1.44533920615579,-2.72644279840708,1.15573112539126,-2.35906322717066,0.0183211339110887,0.0463145742705908
"ENSG00000129084.17",7.36960965886011,1.19961332700121,0.47450959318211,2.52811185324301,0.0114677810491189,0.0307815775842415
"ENSG00000142892.15",17.4530871021896,2.08136703890869,0.395637351750211,5.26079509354006,1.43433806777357e-07,8.86786509180328e-07
"ENSG00000235011.2",43.3577130013791,7.10240491733157,0.86113961828755,8.24768105717319,1.61497703322017e-16,1.91135193931662e-15
"ENSG00000285537.1",4.65461717461463,-1.96413673273063,0.67509389239709,-2.90942749571689,0.00362091363194836,0.0111002048890139
"ENSG00000131626.18",10.9295810661914,-1.01840086022811,0.359816671810187,-2.83033261106184,0.00464996357234504,0.0138541849270101
"ENSG00000246523.8",2.02851837654682,-3.29373227508643,1.10697182082644,-2.97544365007177,0.0029256509482867,0.00918423129096646
"ENSG00000095139.14",7.6117992580541,-1.25079479513646,0.457314744735437,-2.73508521108381,0.00623641296749039,0.0179838726732011
"ENSG00000139218.18",7.18753359729648,1.28968667649733,0.531190581859576,2.42791706129735,0.0151858155819978,0.0394137347739822
"ENSG00000155974.12",3.93468983141892,-5.51623464128758,1.01559864639473,-5.43151043068996,5.58790490452728e-08,3.61148198642335e-07
"ENSG00000111670.16",3.07851744214078,-2.0089629010387,0.786709558773572,-2.55362716600335,0.0106607341692261,0.0288714813424274
"ENSG00000122965.11",1.57415031836666,2.65820316045165,1.12017444795184,2.37302606331719,0.0176430189140789,0.0448371821828402
"ENSG00000288523.1",2.46609188254553,3.40001755831109,1.0439175062983,3.25697915572605,0.00112604701564233,0.0039075674566529
"ENSG00000276644.5",4.43084752223436,2.54901857640103,0.762483053069053,3.34304948305544,0.000828631224210808,0.00296057533331688
"ENSG00000088386.17",132.407248531663,-4.14615345831351,0.195421834826562,-21.2164288703627,6.73491892114594e-100,5.21085321700731e-98
"ENSG00000125247.15",9.0383926163104,-2.71282063737515,0.516778500127265,-5.24948432782531,1.52525574716703e-07,9.39953760418614e-07
"ENSG00000139737.22",2.2728730022038,-2.92012536674019,1.08170782567332,-2.69955092995886,0.0069433127414333,0.0197641077876194
"ENSG00000152767.17",9.27945020024835,-1.15841773732358,0.418274823355733,-2.76951342189289,0.00561400911567647,0.0163838278169942
"ENSG00000223617.2",180.758584578072,-5.74349735442903,0.270618788776623,-21.2235720231898,5.7857206229876e-100,4.48935238541617e-98
"ENSG00000182732.18",2.81209119999864,-2.07810257524082,0.878580731136196,-2.36529495992176,0.0180157160954901,0.0456625393835142
"ENSG00000205683.11",1.3398889255136,-3.93646938741655,1.26163467283576,-3.1201341181981,0.00180768713624906,0.00597715536577502
"ENSG00000258743.6",24.3964207147762,1.88272237461432,0.374591266895457,5.02607119012136,5.0063010707533e-07,2.91510934969794e-06
"ENSG00000224004.2",1.34499258482517,3.12440530603377,1.17193856511364,2.6660145839051,0.00767563631558357,0.0215839694827246
"ENSG00000179008.9",1.49864879488242,-4.12381671045263,1.2177378837272,-3.38645677822771,0.000708014283538465,0.00256648550840686
"ENSG00000125954.12",8.0580559108625,1.6377044465588,0.452473037707653,3.61945201167309,0.000295227552383613,0.00116111625006263
"ENSG00000186517.14",7.51974837976264,1.74689254810892,0.553925279456546,3.15366099525695,0.00161236265622999,0.00539893850503576
"ENSG00000166450.13",8.09294596611016,1.46097625626444,0.467876846330236,3.12256583697937,0.00179282002367225,0.00593455607786764
"ENSG00000182718.16",1.08967951820489,-3.70081412734274,1.37634478989374,-2.68887138928936,0.0071694035229353,0.0203302990895243
"ENSG00000140519.14",2.37914457579712,-2.48069084051197,0.967814998825438,-2.56318701768685,0.0103716164807492,0.028165356222618
"ENSG00000259199.2",1.25207646888533,3.70485804655386,1.20668499923541,3.07027770205263,0.00213859821368091,0.00694592966264878
"ENSG00000189337.17",4.88722593070357,3.07813033502129,0.757655069879048,4.06270670836095,4.85069606223151e-05,0.000217385138940718
"ENSG00000274340.1",8.90432011296062,-1.33524537765122,0.419148027828431,-3.1856177030559,0.0014444533273242,0.00488960344961077
"ENSG00000198794.12",1.22034915218656,3.64498277206584,1.42654958576234,2.55510415371785,0.0106156028180957,0.0287608277195842
"ENSG00000154237.13",17.9218683944323,-3.59615736172405,0.469240871767266,-7.66377691734337,1.80543382422123e-14,1.91307775352839e-13
"ENSG00000150394.14",1.56313300312493,3.33509923541817,1.12274351391351,2.97049076132547,0.00297324348354833,0.00931842402450689
